Name,Flag,City,Prize
StarLadder StarSeries Fall 2026 North America Closed Qualifier,🌎,North America,
StarLadder StarSeries Fall 2026 South America Closed Qualifier,🌎,South America,
ESL Challenger League Season 52 Asia Cup 1,🌏,Asia,
ESL Challenger League Season 52 Oceania Cup 1,🌏,Oceania,
ESL Challenger League Season 52 Europe Cup 2,🇪🇺,Europe,$7k
StarLadder StarSeries Fall 2026 Europe Closed Qualifier,🇪🇺,Europe,
BLAST Bounty 2026 Season 2,🇪🇺,Europe,$1.15m
DFRAG HyperX Nationals 2026,🇦🇺,Brisbane,~$7k
BetBoom RUSH B Summit Season 4,🇧🇷,São Paulo,$50k
BB RUSH B Summit Season 4,🇧🇷,São Paulo,$50k
XSE Pro League Guangzhou 2026,🇨🇳,Guangzhou,$1m
Tipsport Open Cup 1,🇨🇿,Prague,~$12.5k
POWER Ligaen Season 32,🇩🇰,Odense,~$16k
Elisa Esports BreakOut Series 1,🇫🇮,Helsinki,~$17k
Esports World Cup 2026 Open Qualifier,🇫🇷,Paris,$100k
Esports World Cup 2026,🇫🇷,Paris,$2m
IEM Cologne Major 2026 Stage 1,🇩🇪,Cologne,$1.25m
IEM Cologne Major 2026 Stage 2,🇩🇪,Cologne,$1.25m
IEM Cologne Major 2026,🇩🇪,Cologne,$1.25m
BRO Summer Cup 2026,🇰🇿,Almaty,$12k
XP Game Fest 2026 Finals,🇽🇰,Pristina,$10k
Urban Riga Open Season 5,🇱🇻,Riga,$5k
BLAST Bounty 2026 Season 2 Finals,🇲🇹,Malta,$1.15m
BC Game Masters Championship Season 2,🇵🇹,Vila Nova de Gaia,$50k
BC Masters Championship Season 2,🇵🇹,Vila Nova de Gaia,$50k
Digital Crusade Super DraculaN Season 1,🇷🇴,Bucharest,$150k
WINLINE MPKBK CIS LAN Season 6,🇷🇺,Moscow,$40k
Stake Ranked Episode 3,🇪🇸,Barcelona,$100k
ROG JOURNEY Summer 2026,🇸🇪,Jönköping,$21k
Stake Pulse Beat I,🇸🇪,Stockholm,$60k
IEM Atlanta 2026,🇺🇸,Atlanta,$1m
1xBet FRAG Season 17,🇺🇿,Tashkent,$15k
