LOGO,LOGOW,Initials,HLTV Name,Name,PLAYER 1,PLAYER 2,PLAYER 3,PLAYER 4,PLAYER 5,PLAYER 6,Wiki,HLTV
❓,FALSE,Unknown,,Unknown,1,2,3,4,5,6,,
🇺🇸,FALSE,USA,,USA Test,🇺🇸 1,🇺🇸 2,🇺🇸 3,🇺🇸 4,🇺🇸 5,🇺🇸 11,https://liquipedia.net/counterstrike/Virtus.pro,
🌏,FALSE,Mix,,Mix Test,🇲🇽 6,🇧🇷 7,🇿🇦 8,🇦🇺 9,🇯🇵 10,🇻🇦 12,https://liquipedia.net/counterstrike/Virtus.pro,
1@?,,,,,,,,,,,,
[🇧🇷](#lang-br,FALSE,00NT,00NATION,00 Nation,🇧🇷 coldzera,🇧🇷 dumau,🇧🇷 latto,🇧🇷 TACO ♛,🇦🇷 try,🇧🇷 chucky,https://liquipedia.net/counterstrike/00_Nation,https://www.hltv.org/team/11309/00nation
[🇸🇪](#lang-se,FALSE,00PR,PROSPECTS,00 Prospects,🇸🇪 AlekS ♛,🇸🇪 bobeksde,🇸🇪 FRANSSON,🇸🇪 hype,🇸🇪 spooke,🇩🇰 Rytter,https://liquipedia.net/counterstrike/00_Prospects,https://www.hltv.org/team/11425/00prospects
[🇷🇺](#lang-ru,FALSE,1win,1WIN,1win,🇷🇺 deko,🇷🇺 flamie,🇷🇺 glowiing ♛,🇧🇾 lollipop21k,🇷🇺 TRAVIS,🇷🇺 MSE,https://liquipedia.net/counterstrike/1win,https://www.hltv.org/team/10621/1win
[🇵🇱](#lang-pl,FALSE,9INE,9INE,9INE,🇵🇱 Goofy,🇵🇱 KEi,🇵🇱 Kylar,🇵🇱 mynio ♛,🇵🇱 SZPERO,,https://liquipedia.net/counterstrike/9INE,https://www.hltv.org/team/10278/9ine
[🌎](#9z,FALSE,9z,9z,9z Team,🇺🇾 max ♛,🇨🇱 HUASOPEEK,🇦🇷 luchov,🇦🇷 meyern 𖦏,🇺🇾 dgt,🇧🇷 BIT,https://liquipedia.net/counterstrike/9z_Team,https://www.hltv.org/team/9996/9z
AAA,,,,,,,,,,,,
[🇵🇱](#ago,FALSE,AGO,,AGO,🇵🇱 F1KU,🇵🇱 Furlan,🇵🇱 leman,🇵🇱 mwlky,🇵🇱 ultimate,🇧🇬 Grashog ♛,https://liquipedia.net/counterstrike/AGO,https://www.hltv.org/team/8068/ago
[🇪🇺](#lang-eu,FALSE,Apeks,Apeks,Apeks,🇱🇹 jL,🇳🇴 jkaem,🇸🇪 nawwk,🇫🇷 shox,🇸🇰 STYKO ♛,🇳🇴 Polly,https://liquipedia.net/counterstrike/Apeks,https://www.hltv.org/team/9806/apeks
[🇳🇴](#lang-no,FALSE,ApeksR,Apeks Rebels,Apeks Rebels,🇳🇴 berzerk,🇳🇴 Brave,🇳🇴 sense,🇳🇴 Tapewaare,🇳🇴 vhw,🇩🇰 MithR,,https://www.hltv.org/team/11243/apeks-rebels
[🇲🇳](#lang-mn,FALSE,Aravt,ARAVT,Aravt,🇲🇳 controlez,🇲🇳 fury5k,🇲🇳 HiHi,🇲🇳 shinobi,🇲🇳 tamir,🇲🇳 BestronG,https://liquipedia.net/counterstrike/Aravt,https://www.hltv.org/team/11328/aravt
[🇧🇷](#lang-br,FALSE,Arctic,ARCTIC,Arctic eSports,🇧🇷 history,🇧🇷 MaLLby,🇧🇷 ninjaZ,🇧🇷 ponter,🇧🇷 short ♛,🇧🇷 exp,https://liquipedia.net/counterstrike/Arctic_eSports,https://www.hltv.org/team/11561/arctic
[🇩🇰](#astralis,FALSE,Astralis,Astralis,Astralis,🇩🇰 blameF,🇩🇰 Farlig,🇩🇰 gla1ve ♛,🇩🇰 k0nfig,🇩🇰 Xyp9x,🇩🇰 Fessor,https://liquipedia.net/counterstrike/Astralis,https://www.hltv.org/team/6665/astralis
[🇩🇰](#astralis,FALSE,AstralisT,Astralis Talent,Astralis Talent,🇩🇰 Altekz,🇩🇰 brzer,🇩🇰 Fessor,🇩🇰 MistR,🇩🇰 vigg0 ♛,🇸🇪 MODDII,https://liquipedia.net/counterstrike/Astralis_Talent,https://www.hltv.org/team/10954/astralis-talent
[🌍](#atk,FALSE,ATK,ATK,ATK,🇸🇪 b0denmaster,🇿🇦 Fadey,🇿🇦 MisteM ♛,🇺🇸 motm,🇺🇸 Swisher,🇮🇱 sprayxd,https://liquipedia.net/counterstrike/ATK,https://www.hltv.org/team/9943/atk
[🇹🇷](#aurora,FALSE,Aurora,Aurora,Aurora Gaming,🇹🇷 XANTARES,🇹🇷 Wicadia,🇹🇷 woxic 𖦏,🇫🇮 Jimpphat,🇲🇰 kyxsan ♛,🇬🇧 ashhh (c),https://liquipedia.net/counterstrike/Aurora_Gaming,https://www.hltv.org/team/11861/aurora
